Gmt time,Open,High,Low,Close,Volume
05.06.2019 00:00:00.000,1.12540,1.13067,1.12201,1.12289,403305.9375
06.06.2019 00:00:00.000,1.12288,1.13092,1.12015,1.12759,373368.5313
07.06.2019 00:00:00.000,1.12759,1.13479,1.12515,1.13341,352648.1875
09.06.2019 00:00:00.000,1.13253,1.13310,1.13145,1.13194,10180.2305
10.06.2019 00:00:00.000,1.13195,1.13248,1.12904,1.13182,308311.9063
11.06.2019 00:00:00.000,1.13183,1.13377,1.13015,1.13298,356743.5938
12.06.2019 00:00:00.000,1.13298,1.13437,1.12826,1.12928,362641.4063
13.06.2019 00:00:00.000,1.12927,1.13040,1.12687,1.12797,405013.7813
14.06.2019 00:00:00.000,1.12796,1.12893,1.12027,1.12126,352139.125
16.06.2019 00:00:00.000,1.12122,1.12175,1.12110,1.12158,10431.6104
17.06.2019 00:00:00.000,1.12158,1.12473,1.12039,1.12244,240082.8125
18.06.2019 00:00:00.000,1.12246,1.12430,1.11815,1.11981,353435.5
19.06.2019 00:00:00.000,1.11982,1.12545,1.11874,1.12360,317455.2188
20.06.2019 00:00:00.000,1.12360,1.13175,1.12354,1.12946,409623.9688
21.06.2019 00:00:00.000,1.12946,1.13781,1.12833,1.13695,391175.75
23.06.2019 00:00:00.000,1.13739,1.13855,1.13682,1.13854,12450.7197
24.06.2019 00:00:00.000,1.13854,1.14042,1.13727,1.13997,293767.6875
25.06.2019 00:00:00.000,1.13997,1.14122,1.13444,1.13684,392840.9063
26.06.2019 00:00:00.000,1.13684,1.13915,1.13477,1.13739,339644.3438
27.06.2019 00:00:00.000,1.13738,1.13817,1.13480,1.13714,309744.2813
28.06.2019 00:00:00.000,1.13715,1.13934,1.13508,1.13760,277538.5938
30.06.2019 00:00:00.000,1.13598,1.13713,1.13598,1.13602,12829.8701
01.07.2019 00:00:00.000,1.13603,1.13641,1.12805,1.12871,308335.3438
02.07.2019 00:00:00.000,1.12872,1.13216,1.12754,1.12907,262654.3125
03.07.2019 00:00:00.000,1.12909,1.13125,1.12688,1.12875,259799.7031
04.07.2019 00:00:00.000,1.12875,1.12954,1.12733,1.12856,133841.3281
05.07.2019 00:00:00.000,1.12856,1.12863,1.12075,1.12274,254366.9531
07.07.2019 00:00:00.000,1.12296,1.12298,1.12250,1.12269,7121.8101
08.07.2019 00:00:00.000,1.12270,1.12346,1.12071,1.12154,213530.9063
09.07.2019 00:00:00.000,1.12153,1.12190,1.11935,1.12047,217017.9375
10.07.2019 00:00:00.000,1.12045,1.12645,1.12021,1.12585,287323.75
11.07.2019 00:00:00.000,1.12588,1.12860,1.12454,1.12499,280311.4375
12.07.2019 00:00:00.000,1.12501,1.12751,1.12384,1.12708,247542.3906
14.07.2019 00:00:00.000,1.12733,1.12748,1.12659,1.12713,6653.5698
15.07.2019 00:00:00.000,1.12714,1.12841,1.12536,1.12600,213307.6094
16.07.2019 00:00:00.000,1.12600,1.12637,1.12021,1.12120,260083.6719
17.07.2019 00:00:00.000,1.12120,1.12338,1.12000,1.12275,218965.3906
18.07.2019 00:00:00.000,1.12276,1.12822,1.12052,1.12613,317217.5
19.07.2019 00:00:00.000,1.12611,1.12686,1.12037,1.12226,272755.8438
21.07.2019 00:00:00.000,1.12176,1.12200,1.12145,1.12179,8373.2598
22.07.2019 00:00:00.000,1.12179,1.12254,1.12040,1.12046,225836.9375
23.07.2019 00:00:00.000,1.12046,1.12083,1.11460,1.11511,263101.25
24.07.2019 00:00:00.000,1.11511,1.11560,1.11274,1.11422,264406.4063
25.07.2019 00:00:00.000,1.11422,1.11880,1.11016,1.11450,348917.5
26.07.2019 00:00:00.000,1.11450,1.11512,1.11122,1.11308,254319.5938
28.07.2019 00:00:00.000,1.11265,1.11328,1.11250,1.11297,6113.29
29.07.2019 00:00:00.000,1.11297,1.11512,1.11130,1.11425,223986.125
30.07.2019 00:00:00.000,1.11425,1.11612,1.11322,1.11571,299458.125
31.07.2019 00:00:00.000,1.11571,1.11623,1.10604,1.10718,345848.0313
01.08.2019 00:00:00.000,1.10718,1.10960,1.10271,1.10793,462832.25
02.08.2019 00:00:00.000,1.10791,1.11166,1.10701,1.11083,454703.6875
04.08.2019 00:00:00.000,1.11084,1.11141,1.11048,1.11080,11398.7695
05.08.2019 00:00:00.000,1.11081,1.12454,1.11068,1.12422,476579.375
06.08.2019 00:00:00.000,1.12421,1.12498,1.11677,1.12056,434857.4063
07.08.2019 00:00:00.000,1.12055,1.12421,1.11795,1.12043,453211.375
08.08.2019 00:00:00.000,1.12042,1.12327,1.11773,1.11865,336385.6875
09.08.2019 00:00:00.000,1.11864,1.12232,1.11835,1.12032,282580.3438
11.08.2019 00:00:00.000,1.12002,1.12084,1.11990,1.12076,6330.1401
12.08.2019 00:00:00.000,1.12076,1.12308,1.11622,1.12164,328061.875
13.08.2019 00:00:00.000,1.12165,1.12287,1.11703,1.11767,582299
14.08.2019 00:00:00.000,1.11767,1.11910,1.11308,1.11433,348017.0938
15.08.2019 00:00:00.000,1.11433,1.11586,1.10916,1.11108,347129.1875
16.08.2019 00:00:00.000,1.11109,1.11117,1.10665,1.10911,242321.3438
18.08.2019 00:00:00.000,1.10946,1.11017,1.10900,1.10924,6905.4902
19.08.2019 00:00:00.000,1.10922,1.11141,1.10763,1.10819,202657.9531
20.08.2019 00:00:00.000,1.10821,1.11069,1.10658,1.10976,210011.2656
21.08.2019 00:00:00.000,1.10976,1.11074,1.10809,1.10906,163403.4688
22.08.2019 00:00:00.000,1.10906,1.11133,1.10638,1.10840,203994.3594
23.08.2019 00:00:00.000,1.10840,1.11535,1.10519,1.11450,239483.5156
25.08.2019 00:00:00.000,1.11541,1.11646,1.11426,1.11436,15733.9297
26.08.2019 00:00:00.000,1.11435,1.11532,1.10944,1.11018,275333.9375
27.08.2019 00:00:00.000,1.11016,1.11162,1.10859,1.10898,212908.7969
28.08.2019 00:00:00.000,1.10899,1.10983,1.10734,1.10857,216699.1406
29.08.2019 00:00:00.000,1.10859,1.10933,1.10422,1.10594,224535.8125
30.08.2019 00:00:00.000,1.10594,1.10602,1.09635,1.09936,169814.2031
01.09.2019 00:00:00.000,1.09897,1.09969,1.09844,1.09908,3249.71
02.09.2019 00:00:00.000,1.09908,1.09936,1.09581,1.09645,45606.0391
03.09.2019 00:00:00.000,1.09646,1.09790,1.09262,1.09729,135988.4063
04.09.2019 00:00:00.000,1.09727,1.10386,1.09718,1.10351,161576.375
05.09.2019 00:00:00.000,1.10351,1.10850,1.10169,1.10343,169420.9063
